Year,School_ID,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,Percent_11th_Grade_Students_Proficient_All_Three_Keystones,Percent_11th_Grade_Students_Below_Basic_Keystone_Algebra_I,Percent_11th_Grade_Students_Proficient_Keystone_Algebra_I,Percent_11th_Grade_Students_Below_Basic_Keystone_Biology,Percent_11th_Grade_Students_Proficient_Keystone_Biology,Percent_11th_Grade_Students_Below_Basic_Keystone Literature,Percent_11th_Grade_Students_Proficient_Keystone_Literature,Percent_12th_Grade_CTE_Students_Meeting_Industry_Standards,Ninth_Grade_On_Track_Rate,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Students_Completing_the_FAFSA_by_End_of_12th_Grade,First_Fall_Matriculation,Four_Year_Cohort_Graduation_Rate,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Percent_Teachers Rated as Proficient,Year_to_Year_Teacher_Retention
2022-2023,2410,Girard Academic Music Program,High School,Criteria-Based,250,249,1.5,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,3,84.9,Insufficient Sample,100,37.5,82.4,1,94.8,59,75.4,100,87.9,36,64,94.1
2022-2023,2620,Academy at Palumbo,High School,Criteria-Based,1181,1177,55.7,2.1,72.7,5.7,61,0.4,92.7,Insufficient Sample,98.4,16.7,86.7,35,99.4,52.9,87.1,97.5,94.7,18.8,81.3,93.1
2022-2023,2650,Science Leadership Academy,High School,Criteria-Based,497,497,51.6,0,69.4,2.5,69.4,0,96.7,69.6,97.7,53.9,88.1,1,96.2,58.1,74.8,98.3,93.1,87.5,12.5,93.6
2022-2023,2670,Constitution High School,High School,Citywide,403,383,6.7,13.9,18.8,42.3,14.4,5.7,66.7,Insufficient Sample,87.1,41.7,60.3,3,98.8,58.7,55.8,95.9,82.6,0,100,80
2022-2023,2680,The Science Leadership Academy at Beeber,High School,Criteria-Based,454,442,30.1,8.3,39.5,11.7,54.1,3.5,83.2,46.4,87.5,69.2,82.2,15,98.9,50.5,67.4,93.7,83.3,86.5,13.5,81
2022-2023,3301,Community Academy of Philadelphia Charter School,High School,Citywide,617,575,10.4,52.4,13.7,49.6,20,32.3,37.9,Insufficient Sample,81,20,61.3,1,89.6,57.3,46.7,92.1,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3309,Imhotep Institute Charter High School,High School,Citywide,659,590,3.8,56.7,9.5,53.2,6.4,15.6,40.6,Insufficient Sample,99.2,20,71.2,2,82.7,44,46.2,90,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3312,Multicultural Academy Charter School,High School,Citywide,253,250,21.7,8.7,26.1,17.4,52.2,8.9,62.2,Insufficient Sample,82.4,33.3,60.5,0,99.2,38.5,70.4,100,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3313,"Preparatory Charter School of Mathematics, Science, Technology and Careers",High School,Citywide,582,564,10.6,22.5,25.2,36.4,22.7,5.5,56.4,Insufficient Sample,90.1,10,46.2,1,80.2,37.3,57,96.1,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3318,Freire Charter School,High School,Citywide,515,492,12.5,19.5,30.5,27.4,31.6,7.3,59.4,Insufficient Sample,84.5,40,59.2,1,76.1,58,60.2,91.3,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3321,"Math, Civics and Sciences Charter School",High School,Citywide,328,296,9.2,31.8,17.5,48.4,11.3,20.3,40.6,Insufficient Sample,100,70,64.9,0,98.8,68.1,72.6,97.3,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3322,Philadelphia Academy Charter School,High School,Citywide,467,455,33,12.6,41.8,22.3,42.7,3.9,68.9,Insufficient Sample,96.3,30,66.8,0,90.6,30.6,57,81.8,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3323,Mastery Charter School at Hardy Williams,High School,Citywide With Criteria,433,423,9.2,44.6,12.1,37.5,32.5,20,48.2,Insufficient Sample,61.2,10,48.3,3,66.3,46.6,51.2,84.4,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3328,"Mathematics, Science, and Technology Community Charter School (MaST)",High School,Citywide,489,468,50.5,8.5,62.3,13.5,61.3,1.8,78.2,Insufficient Sample,98.3,20,82.4,0,89.8,45.9,72.9,99.1,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
2022-2023,3331,Franklin Towne Charter High School,High School,Citywide With Criteria,1296,1285,43.8,8.7,47.4,9.3,61.5,1,84.7,Insufficient Sample,97.9,20,81.3,0,99.1,47.7,61.2,96.6,Not Applicable,Data Unavailable,Data Unavailable,Data Unavailable
